"","id","condition","perceived_alt","actCN_avg_m_alt","actCN_avg_p_alt","actCN_avg_a_alt","actMO_avg_m_alt","actMO_avg_s_alt","actMO_avg_e_alt","actMO_avg_o_alt","rt","alt_comp_e","alt_comp_m","alt_comp_o","alt_comp_s","alt_comp"
"1",1,1,2.125,2.25,2,2.125,NA,NA,NA,NA,7.715875,NA,NA,NA,NA,2.125
"2",2,1,2.83333333333333,2.625,2.125,3.75,NA,NA,NA,NA,4.221625,NA,NA,NA,NA,2.83333333333333
"3",3,2,0.458333333333333,-1.75,-1.875,5,-1.66666666666667,1.16666666666667,-1.66666666666667,4,14.13575,-1.66666666666667,-1.66666666666667,4,1.16666666666667,0.458333333333333
"4",4,2,1.04166666666667,1,1.125,1,-2.83333333333333,-3,5,5,12.47725,5,-2.83333333333333,5,-3,1.04166666666667
"5",5,1,3.04166666666667,2.75,2.875,3.5,NA,NA,NA,NA,7.1675,NA,NA,NA,NA,3.04166666666667
"6",6,4,1.5,1.375,1.375,1.75,NA,NA,NA,NA,6.82275,NA,NA,NA,NA,1.5
"7",7,1,1.91666666666667,1.875,1.875,2,NA,NA,NA,NA,3.3305,NA,NA,NA,NA,1.91666666666667
"8",8,4,-1.66666666666667,-2.5,0,-2.5,NA,NA,NA,NA,7.8955,NA,NA,NA,NA,-1.66666666666667
"9",9,2,2.08333333333333,2,2,2.25,1.83333333333333,2.16666666666667,2.33333333333333,2,20.397,2.33333333333333,1.83333333333333,2,2.16666666666667,2.08333333333333
"10",10,2,0.541666666666667,0.5,0.375,0.75,-2.16666666666667,-2.83333333333333,2.33333333333333,4.83333333333333,11.78225,2.33333333333333,-2.16666666666667,4.83333333333333,-2.83333333333333,0.541666666666667
"11",11,3,4.08333333333333,4.125,3.25,4.875,4.16666666666667,4.66666666666667,4.33333333333333,3.16666666666667,19.208625,4.33333333333333,4.16666666666667,3.16666666666667,4.66666666666667,4.08333333333333
"12",12,2,0.583333333333333,0.375,0.625,0.75,-1.16666666666667,-1.83333333333333,4,1.33333333333333,12.79425,4,-1.16666666666667,1.33333333333333,-1.83333333333333,0.583333333333333
"13",13,4,2.75,2.75,2.75,2.75,NA,NA,NA,NA,7.97925,NA,NA,NA,NA,2.75
"14",14,3,3.41666666666667,3.375,3.375,3.5,1.83333333333333,3.33333333333333,4.33333333333333,4.16666666666667,11.696625,4.33333333333333,1.83333333333333,4.16666666666667,3.33333333333333,3.41666666666667
"15",15,1,3.5,3.625,3.25,3.625,NA,NA,NA,NA,4.68375,NA,NA,NA,NA,3.5
"16",16,1,-0.208333333333333,0,-0.375,-0.25,NA,NA,NA,NA,4.497,NA,NA,NA,NA,-0.208333333333333
"17",17,4,2.625,2.5,2.875,2.5,NA,NA,NA,NA,8.352375,NA,NA,NA,NA,2.625
"18",18,3,1.58333333333333,0.625,1.875,2.25,0.833333333333333,2.5,1,2,5,1,0.833333333333333,2,2.5,1.58333333333333
"19",19,3,2.375,2.375,2.5,2.25,0.833333333333333,3,2.66666666666667,3,7.476375,2.66666666666667,0.833333333333333,3,3,2.375
"20",20,4,-1.375,-2.25,0,-1.875,NA,NA,NA,NA,8.8935,NA,NA,NA,NA,-1.375
"21",21,3,1.20833333333333,1.5,1,1.125,0.166666666666667,1.66666666666667,1,2,7.0175,1,0.166666666666667,2,1.66666666666667,1.20833333333333
"22",22,4,0.291666666666667,0.375,0.375,0.125,NA,NA,NA,NA,89.893125,NA,NA,NA,NA,0.291666666666667
"23",23,1,4.125,4,4.125,4.25,NA,NA,NA,NA,26.29525,NA,NA,NA,NA,4.125
"24",24,2,1.75,1.75,1.875,1.625,-1.5,-0.5,4.5,4.5,14.641875,4.5,-1.5,4.5,-0.5,1.75
"25",25,3,2.29166666666667,2,2.125,2.75,1.33333333333333,2.66666666666667,2.66666666666667,2.5,7.370375,2.66666666666667,1.33333333333333,2.5,2.66666666666667,2.29166666666667
"26",26,4,-1.41666666666667,-1.625,-0.75,-1.875,NA,NA,NA,NA,13.354,NA,NA,NA,NA,-1.41666666666667
"27",27,3,4.29166666666667,4.875,3.5,4.5,4.33333333333333,4.5,3.66666666666667,4.66666666666667,6.300125,3.66666666666667,4.33333333333333,4.66666666666667,4.5,4.29166666666667
"28",28,3,5,5,5,5,5,5,5,5,10.3045,5,5,5,5,5
"29",29,1,3.75,3.75,3.75,3.75,NA,NA,NA,NA,18.26275,NA,NA,NA,NA,3.75
"30",30,2,2.08333333333333,2.25,1.25,2.75,-1.83333333333333,0.166666666666667,5,5,16.903375,5,-1.83333333333333,5,0.166666666666667,2.08333333333333
"31",31,1,4.66666666666667,4.625,4.5,4.875,NA,NA,NA,NA,14.57175,NA,NA,NA,NA,4.66666666666667
"32",32,2,-0.458333333333333,-0.875,0.375,-0.875,-3,-3.66666666666667,0.666666666666667,4.16666666666667,21.677375,0.666666666666667,-3,4.16666666666667,-3.66666666666667,-0.458333333333333
"33",33,2,1.16666666666667,-0.125,0.875,2.75,0.166666666666667,-1,1.16666666666667,4.33333333333333,6.960875,1.16666666666667,0.166666666666667,4.33333333333333,-1,1.16666666666667
"34",34,1,3.66666666666667,3.75,3.625,3.625,NA,NA,NA,NA,9.504375,NA,NA,NA,NA,3.66666666666667
"35",35,2,0.541666666666667,-0.625,0,2.25,-1.83333333333333,-1.33333333333333,0.666666666666667,4.66666666666667,11.171,0.666666666666667,-1.83333333333333,4.66666666666667,-1.33333333333333,0.541666666666667
"36",36,4,-2.41666666666667,-3.5,-0.25,-3.5,NA,NA,NA,NA,9.941,NA,NA,NA,NA,-2.41666666666667
"37",37,3,3.45833333333333,3.5,3.125,3.75,2.5,2.16666666666667,5,4.16666666666667,11.29,5,2.5,4.16666666666667,2.16666666666667,3.45833333333333
"38",38,1,4.375,4.375,4.125,4.625,NA,NA,NA,NA,7.1275,NA,NA,NA,NA,4.375
"39",39,2,1.25,0.875,1.75,1.125,0.166666666666667,0.166666666666667,2.5,2.16666666666667,7.782625,2.5,0.166666666666667,2.16666666666667,0.166666666666667,1.25
"40",40,3,1.875,1.875,1.875,1.875,2.33333333333333,0.5,1.5,3.16666666666667,11.46625,1.5,2.33333333333333,3.16666666666667,0.5,1.875
"41",41,1,4.29166666666667,4.25,4.25,4.375,NA,NA,NA,NA,8.252375,NA,NA,NA,NA,4.29166666666667
"42",42,4,0.625,0.625,0.625,0.625,NA,NA,NA,NA,13.391875,NA,NA,NA,NA,0.625
"43",43,2,1.20833333333333,0,0.875,2.75,1.66666666666667,-0.833333333333333,2.16666666666667,1.83333333333333,8.62875,2.16666666666667,1.66666666666667,1.83333333333333,-0.833333333333333,1.20833333333333
"44",44,3,3.58333333333333,3.625,3.375,3.75,2.66666666666667,2.33333333333333,4.66666666666667,4.66666666666667,11.23275,4.66666666666667,2.66666666666667,4.66666666666667,2.33333333333333,3.58333333333333
"45",45,3,4.04166666666667,4.125,3.875,4.125,4,4.33333333333333,4,3.83333333333333,13.4145,4,4,3.83333333333333,4.33333333333333,4.04166666666667
"46",46,1,5,5,5,5,NA,NA,NA,NA,22.927125,NA,NA,NA,NA,5
"48",48,2,1,1,1,1,-3.5,-2.5,5,5,19.149875,5,-3.5,5,-2.5,1
"49",49,4,0.833333333333333,0.75,1,0.75,NA,NA,NA,NA,5.225625,NA,NA,NA,NA,0.833333333333333
"50",50,1,4.16666666666667,4.25,4.125,4.125,NA,NA,NA,NA,4.9495,NA,NA,NA,NA,4.16666666666667
"51",51,1,5,5,5,5,NA,NA,NA,NA,21.061875,NA,NA,NA,NA,5
"52",52,2,0.958333333333333,0.75,-0.25,2.375,-1.66666666666667,-0.833333333333333,1.83333333333333,4.5,7.644375,1.83333333333333,-1.66666666666667,4.5,-0.833333333333333,0.958333333333333
"53",53,4,-0.666666666666667,-1.25,0,-0.75,NA,NA,NA,NA,13.695625,NA,NA,NA,NA,-0.666666666666667
"54",54,4,0,0,0,0,NA,NA,NA,NA,30.724625,NA,NA,NA,NA,0
"55",55,1,0.791666666666667,0.875,0.5,1,NA,NA,NA,NA,5.23175,NA,NA,NA,NA,0.791666666666667
"56",56,1,3.25,2.625,3.25,3.875,NA,NA,NA,NA,53.889125,NA,NA,NA,NA,3.25
"57",57,2,0.666666666666667,0,0.375,1.625,-0.166666666666667,-0.5,1.16666666666667,2.16666666666667,4.90075,1.16666666666667,-0.166666666666667,2.16666666666667,-0.5,0.666666666666667
"58",58,2,0.875,1.25,0.625,0.75,-2.5,-1,3.5,3.5,47.038125,3.5,-2.5,3.5,-1,0.875
"59",59,4,0.291666666666667,0.375,0.25,0.25,NA,NA,NA,NA,166.3645,NA,NA,NA,NA,0.291666666666667
"60",60,1,4,4.125,3.75,4.125,NA,NA,NA,NA,7.72075,NA,NA,NA,NA,4
"61",61,3,3.45833333333333,3.375,3.375,3.625,4.16666666666667,3.66666666666667,4.66666666666667,1.33333333333333,23.03825,4.66666666666667,4.16666666666667,1.33333333333333,3.66666666666667,3.45833333333333
"62",62,3,1.70833333333333,1.75,2,1.375,3.16666666666667,0.333333333333333,1.66666666666667,1.66666666666667,38.715625,1.66666666666667,3.16666666666667,1.66666666666667,0.333333333333333,1.70833333333333
"63",63,2,2.08333333333333,2,2.375,1.875,0.166666666666667,-0.5,4.5,4.16666666666667,18.07325,4.5,0.166666666666667,4.16666666666667,-0.5,2.08333333333333
"64",64,4,0.416666666666667,0.125,1.25,-0.125,NA,NA,NA,NA,12.319125,NA,NA,NA,NA,0.416666666666667
"65",65,2,2.75,2.25,2.875,3.125,2.83333333333333,3.83333333333333,1.16666666666667,3.16666666666667,5.600625,1.16666666666667,2.83333333333333,3.16666666666667,3.83333333333333,2.75
"66",66,1,0.333333333333333,0.5,0,0.5,NA,NA,NA,NA,8.15325,NA,NA,NA,NA,0.333333333333333
"67",67,3,3.29166666666667,3,3.625,3.25,4.16666666666667,2.16666666666667,3.33333333333333,3.5,11.769,3.33333333333333,4.16666666666667,3.5,2.16666666666667,3.29166666666667
"68",68,4,1.58333333333333,1.875,1.5,1.375,NA,NA,NA,NA,13.730375,NA,NA,NA,NA,1.58333333333333
"69",69,2,0.125,0.25,0,0.125,-3.16666666666667,-2.66666666666667,3.33333333333333,3,6.689125,3.33333333333333,-3.16666666666667,3,-2.66666666666667,0.125
"70",70,3,2.16666666666667,2.25,1.875,2.375,1.33333333333333,1.16666666666667,2.5,3.66666666666667,8.4405,2.5,1.33333333333333,3.66666666666667,1.16666666666667,2.16666666666667
"71",71,1,3.91666666666667,3.875,4,3.875,NA,NA,NA,NA,30.8485,NA,NA,NA,NA,3.91666666666667
"72",72,4,0.833333333333333,0.625,1.25,0.625,NA,NA,NA,NA,4.28,NA,NA,NA,NA,0.833333333333333
"73",73,3,3.70833333333333,4,3.5,3.625,3.33333333333333,3.5,4.16666666666667,3.83333333333333,10.161625,4.16666666666667,3.33333333333333,3.83333333333333,3.5,3.70833333333333
"74",74,1,4.54166666666667,4.625,4.25,4.75,NA,NA,NA,NA,12.76025,NA,NA,NA,NA,4.54166666666667
"75",75,2,2.25,1,1.375,4.375,-0.5,0,4.83333333333333,4.66666666666667,9.5185,4.83333333333333,-0.5,4.66666666666667,0,2.25
"76",76,3,4.25,4.375,4.125,4.25,5,3.16666666666667,3.83333333333333,5,6.886625,3.83333333333333,5,5,3.16666666666667,4.25
"77",77,1,3.5,3.5,3.5,3.5,NA,NA,NA,NA,7.9335,NA,NA,NA,NA,3.5
"78",78,4,4.20833333333333,3.5,4.75,4.375,NA,NA,NA,NA,16.84825,NA,NA,NA,NA,4.20833333333333
"79",79,2,1.125,1,1.25,1.125,-1.66666666666667,-2.5,5,3.66666666666667,12.230875,5,-1.66666666666667,3.66666666666667,-2.5,1.125
"80",80,3,3.66666666666667,3.75,3.5,3.75,3.66666666666667,2.83333333333333,4.16666666666667,4,48.133875,4.16666666666667,3.66666666666667,4,2.83333333333333,3.66666666666667
"81",81,4,-1.08333333333333,-1.625,-0.375,-1.25,NA,NA,NA,NA,5.51475,NA,NA,NA,NA,-1.08333333333333
"82",82,1,2.75,2.625,1.75,3.875,NA,NA,NA,NA,8.29425,NA,NA,NA,NA,2.75
"83",83,2,1.125,0,0.875,2.5,-1.66666666666667,-1.33333333333333,2.66666666666667,4.83333333333333,44.84875,2.66666666666667,-1.66666666666667,4.83333333333333,-1.33333333333333,1.125
"84",84,1,5,5,5,5,NA,NA,NA,NA,8.315,NA,NA,NA,NA,5
"85",85,2,-0.75,-1,-0.5,-0.75,-3.66666666666667,-1.66666666666667,0.166666666666667,2.16666666666667,10.184875,0.166666666666667,-3.66666666666667,2.16666666666667,-1.66666666666667,-0.75
"86",86,3,3.41666666666667,3.5,3.375,3.375,3.16666666666667,2.5,4,4,14.84325,4,3.16666666666667,4,2.5,3.41666666666667
"87",87,1,4.41666666666667,4.5,4.375,4.375,NA,NA,NA,NA,10.47325,NA,NA,NA,NA,4.41666666666667
"88",88,4,0.291666666666667,0,0.875,0,NA,NA,NA,NA,7.695375,NA,NA,NA,NA,0.291666666666667
"89",89,2,2.41666666666667,2.5,3,1.75,-0.166666666666667,-0.833333333333333,5,5.66666666666667,28.206375,5,-0.166666666666667,5.66666666666667,-0.833333333333333,2.41666666666667
"90",90,3,1.66666666666667,1.875,1.625,1.5,1.66666666666667,1.83333333333333,1.5,1.66666666666667,12.47675,1.5,1.66666666666667,1.66666666666667,1.83333333333333,1.66666666666667
"91",91,2,2,1,1.75,3.25,-1.5,-0.833333333333333,4.5,5.83333333333333,10.84325,4.5,-1.5,5.83333333333333,-0.833333333333333,2
"92",92,2,0.208333333333333,0.25,-0.125,0.5,0,0.666666666666667,0.5,-0.333333333333333,5.7315,0.5,0,-0.333333333333333,0.666666666666667,0.208333333333333
"93",93,1,5,5,5,5,NA,NA,NA,NA,13.51775,NA,NA,NA,NA,5
"94",94,1,2.20833333333333,2.375,1.875,2.375,NA,NA,NA,NA,32.24175,NA,NA,NA,NA,2.20833333333333
"95",95,3,1.70833333333333,1.625,1.75,1.75,-0.5,0.5,3.33333333333333,3.5,8.687125,3.33333333333333,-0.5,3.5,0.5,1.70833333333333
"96",96,4,-0.5,-1.5,0.75,-0.75,NA,NA,NA,NA,27.765625,NA,NA,NA,NA,-0.5
"97",97,2,1.29166666666667,0.125,1.75,2,-2.66666666666667,-1.5,3.66666666666667,5.66666666666667,14.468625,3.66666666666667,-2.66666666666667,5.66666666666667,-1.5,1.29166666666667
"98",98,3,-3.20833333333333,-3.375,-3.25,-3,-1.33333333333333,-4.16666666666667,-3.16666666666667,-4.16666666666667,7.446625,-3.16666666666667,-1.33333333333333,-4.16666666666667,-4.16666666666667,-3.20833333333333
"99",99,4,-1.41666666666667,-2,0,-2.25,NA,NA,NA,NA,7.044125,NA,NA,NA,NA,-1.41666666666667
"100",100,1,3.20833333333333,3.125,3.375,3.125,NA,NA,NA,NA,5.8625,NA,NA,NA,NA,3.20833333333333
"101",101,2,0.791666666666667,-0.125,-0.125,2.625,-0.666666666666667,-1.83333333333333,1.66666666666667,4,12.7285,1.66666666666667,-0.666666666666667,4,-1.83333333333333,0.791666666666667
"102",102,1,1.66666666666667,1.625,1.125,2.25,NA,NA,NA,NA,12.301,NA,NA,NA,NA,1.66666666666667
"103",103,1,1.16666666666667,0.875,1,1.625,NA,NA,NA,NA,9.450125,NA,NA,NA,NA,1.16666666666667
"104",104,2,1.625,1.375,1.625,1.875,0,-1,4,3.5,22.870375,4,0,3.5,-1,1.625
"105",105,4,0.0416666666666667,0,0,0.125,NA,NA,NA,NA,22.05125,NA,NA,NA,NA,0.0416666666666667
"106",106,4,3.33333333333333,3.75,3.125,3.125,NA,NA,NA,NA,10.92325,NA,NA,NA,NA,3.33333333333333
"107",107,1,4.25,4,4.25,4.5,NA,NA,NA,NA,6.506375,NA,NA,NA,NA,4.25
"108",108,3,2.95833333333333,2.75,3,3.125,2.5,2.33333333333333,3.33333333333333,3.66666666666667,6.192875,3.33333333333333,2.5,3.66666666666667,2.33333333333333,2.95833333333333
"109",109,3,4.16666666666667,3.75,4.125,4.625,4,2.66666666666667,5,5,8.920375,5,4,5,2.66666666666667,4.16666666666667
"110",110,2,0.5,0.625,0.125,0.75,-2.66666666666667,-2.66666666666667,3.5,3.83333333333333,14.9,3.5,-2.66666666666667,3.83333333333333,-2.66666666666667,0.5
"111",111,1,2.95833333333333,3.125,2.875,2.875,NA,NA,NA,NA,15.098,NA,NA,NA,NA,2.95833333333333
"112",112,2,3.41666666666667,3.25,3.5,3.5,2.83333333333333,1.66666666666667,4.16666666666667,5,12.358875,4.16666666666667,2.83333333333333,5,1.66666666666667,3.41666666666667
"113",113,4,0.666666666666667,0.5,0.75,0.75,NA,NA,NA,NA,37.904125,NA,NA,NA,NA,0.666666666666667
"114",114,3,2.875,3,3.125,2.5,3.16666666666667,3.66666666666667,3.66666666666667,1,4.4035,3.66666666666667,3.16666666666667,1,3.66666666666667,2.875
"115",115,2,0.541666666666667,0.375,0.625,0.625,-3.5,-2.83333333333333,4.16666666666667,4.33333333333333,26.526125,4.16666666666667,-3.5,4.33333333333333,-2.83333333333333,0.541666666666667
"116",116,4,0.125,0,0.125,0.25,NA,NA,NA,NA,12.226125,NA,NA,NA,NA,0.125
"117",117,2,1.41666666666667,1,1.125,2.125,-2.66666666666667,-1.66666666666667,5,5,10.061875,5,-2.66666666666667,5,-1.66666666666667,1.41666666666667
"118",118,3,5,5,5,5,5,5,5,5,11.035625,5,5,5,5,5
"119",119,4,1,1,0.75,1.25,NA,NA,NA,NA,15.1685,NA,NA,NA,NA,1
"120",120,1,4.41666666666667,4.375,4.625,4.25,NA,NA,NA,NA,8.4905,NA,NA,NA,NA,4.41666666666667
"121",121,2,0.458333333333333,0.125,0.625,0.625,-0.333333333333333,-2.16666666666667,0.833333333333333,3.5,54.865625,0.833333333333333,-0.333333333333333,3.5,-2.16666666666667,0.458333333333333
"123",123,1,4.16666666666667,4.25,3.875,4.375,NA,NA,NA,NA,16.163875,NA,NA,NA,NA,4.16666666666667
"124",124,3,5,5,5,5,5,5,5,5,7.179625,5,5,5,5,5
"125",125,1,2.33333333333333,2.375,2.375,2.25,NA,NA,NA,NA,13.7445,NA,NA,NA,NA,2.33333333333333
"126",126,3,4.79166666666667,4.875,4.75,4.75,4.66666666666667,4.66666666666667,4.83333333333333,5,8.775,4.83333333333333,4.66666666666667,5,4.66666666666667,4.79166666666667
"127",127,2,1.16666666666667,1,1.5,1,-1.16666666666667,0.166666666666667,2.83333333333333,2.83333333333333,6.392125,2.83333333333333,-1.16666666666667,2.83333333333333,0.166666666666667,1.16666666666667
"128",128,4,1.58333333333333,1.5,1.875,1.375,NA,NA,NA,NA,13.45425,NA,NA,NA,NA,1.58333333333333
"129",129,1,4.79166666666667,4.75,4.75,4.875,NA,NA,NA,NA,9.70425,NA,NA,NA,NA,4.79166666666667
"130",130,4,0.291666666666667,0.625,0.5,-0.25,NA,NA,NA,NA,7.339125,NA,NA,NA,NA,0.291666666666667
"131",131,3,3,2.875,2.625,3.5,2.66666666666667,2.33333333333333,4,3,14.648875,4,2.66666666666667,3,2.33333333333333,3
"132",132,1,4.04166666666667,3.5,3.75,4.875,NA,NA,NA,NA,8.55175,NA,NA,NA,NA,4.04166666666667
"133",133,2,1.45833333333333,-0.25,1.125,3.5,-2.5,0.666666666666667,2.66666666666667,5,18.22775,2.66666666666667,-2.5,5,0.666666666666667,1.45833333333333
"134",134,1,3.29166666666667,3,3.125,3.75,NA,NA,NA,NA,5.61225,NA,NA,NA,NA,3.29166666666667
